year,Buenos_Aires,Santa.Fe,Cordoba,Entre_Rios
1966_67,328.2336,335.016,327.9312,391.98816
1967_68,148.2624,174.94272,207.36864,150.43968
1968_69,241.488,374.82048,273.53376,360.44352
1969_70,263.7792,370.97568,317.38176,371.3904
1971,232.83936,342.80064,316.20672,405.19872
1972,171.04608,240.35616,203.48928,282.79584
1973,280.67904,396.28224,377.02368,356.5728
1974,256.20192,314.48736,260.25408,304.26624
1975,198.504,288.19584,290.0448,262.12896
1976,180.17856,335.30976,253.57536,350.59392
1977,355.55328,479.92608,447.69888,401.49216
1978,306.04608,450.10944,429.58944,517.8067776
1979,229.90176,384.45408,391.02912,291.8592
1980,216.92448,310.06368,287.2368,359.02656
1981,290.41632,455.8896,460.46016,435.57696
1982,221.23584,327.3264,336.95136,281.38752
1983,193.89024,395.02944,361.1952,275.11488
1984,259.46784,329.85792,312.4224,301.91616
1985,251.63136,264.60864,372.85056,214.29792
1986,369.91296,285.05088,306.288,259.91712
1987,236.53728,406.00224,333.5472,412.016544
1988,244.18368,434.3328,348.24384,411.98112
1989,161.136,194.28768,186.30432,182.13984
1990,331.14528,330.98112,292.93056,391.79808
1991,322.46208,481.74912,365.97312,511.36704
1992,315.45504,389.55168,343.8288,370.99296
1993,276.36768,559.53504,472.0896,397.24992
1994,291.00384,365.45472,395.63424,370.70784
1995,232.34688,313.94304,314.39232,319.51584
1996,216.26784,281.58624,293.3712,272.25504
1997,334.47168,371.6064,287.4096,326.92032
1998,317.9088,578.06784,381.89664,597.07584
1999,237.06432,322.64352,272.47104,351.62208
2000,205.87392,223.93152,334.25568,172.52352
2001,251.13888,498.20832,372.17664,409.64832
2002,257.37696,301.26816,296.79264,344.36448
2003,272.19456,476.99712,355.41504,464.58144
2004,287.47872,311.52384,268.78176,315.2736
2005,284.23872,405.36288,342.59328,439.6464
2006,264.19392,297.49248,303.75648,249.90336
2007,216.80352,367.36416,385.54272,446.26464
2008,162.9936,238.13568,258.90624,234.71424
2009,117.389952,202.76352,272.94624,192.78432
2010,338.96448,527.80896,306.14976,540.33696
2011,255.79584,360.02016,262.71648,247.64832
2012,235.41408,239.09472,230.92128,232.5024
