year,Goias,Mato_Grosso,Parana,Sao_Paulo,Minas_Gerais
1966_67,861.2824608,930.6710784,635.86944,873.2251008,751.44672
1967_68,1047.454416,1001.51977,552.86496,780.2784,987.18912
1969,1044.268848,1031.306256,650.94624,650.52288,797.29056
1970,1138.109875,1057.441133,611.44416,941.632128,911.1578976
1971,779.3712,904.7776896,678.5044704,674.60256,526.71168
1972,933.3328896,1009.306483,713.0668032,840.0685824,763.539264
1973,1097.439062,1073.006179,688.94496,766.328256,830.8403712
1974,807.2352,1079.66088,651.95712,787.3085952,667.05984
1975,898.4263392,1085.422291,645.22656,808.193808,744.64704
1976,811.5686784,1007.305114,754.46208,910.1588544,657.697536
1976_77,1060.819632,1038.071376,638.68608,867.1805568,832.1602176
1978,936.1122048,1093.229395,530.11584,700.06464,902.63808
1979,1369.190131,1257.606,511.09056,764.32896,1183.929782
1980,1335.106368,1171.584173,792.98784,863.2312128,1016.616874
1981,862.0160832,1084.592678,595.06272,711.43488,732.15792
1982,1176.270941,1132.712122,710.45856,943.6608,997.4048832
1983,1087.550064,1054.011744,862.219296,961.0164,921.235248
1984,920.6115264,1028.083277,494.5104,606.28608,720.0430848
1985,1085.426179,1035.956563,661.21056,697.57632,1093.800154
1986,871.6127904,926.8027776,537.30432,606.76992,747.62784
1987,828.5611392,935.4914208,591.55488,890.0745696,672.7865184
1988,1193.463331,1189.242518,475.26048,669.34944,826.3903392
1989,957.19968,1036.79257,700.8803424,708.8688,599.79744
1990,1187.980733,1092.497846,708.0953472,737.09568,914.72112
1991,939.4873344,1011.098333,524.28384,713.94048,835.2582624
1992,1173.111552,1042.780262,696.511872,698.0688,936.2781792
1993,1024.622179,1051.084339,578.47392,840.25728,842.7462912
1994,1023.028186,1128.599914,739.08288,774.6192,777.6113184
1995,1089.20929,1143.428314,879.9916896,1063.165478,725.14656
1996,990.4789728,1173.121056,617.13792,834.2714016,773.5957056
1997,1188.687917,1137.05519,940.355568,915.5693952,876.7931616
1998,873.79776,1001.756074,869.0588928,937.7085312,786.1536
1999,925.69824,1113.81385,569.58336,783.97632,784.6416
2000,1092.603514,1069.936646,540.7344,815.1129792,890.8333344
2001,1012.72559,1027.45705,729.2650752,805.13568,760.7577888
2002,1243.661126,1152.867514,615.34944,924.7205376,964.960992
2003,1063.260778,1104.224314,795.32928,883.144944,963.1440864
2004,1144.023955,1130.855126,622.76256,753.82272,905.9607648
2005,891.1031616,1087.598534,528.49152,756.5665248,874.0682784
2006,1109.630707,1036.156579,558.73152,875.22336,809.1902592
2007,984.3489792,1050.677222,854.259264,968.3497728,942.0178176
2008,1042.713562,1103.216803,724.32576,944.5387104,758.1168
2009,925.5345984,1006.258291,595.60704,811.2991104,934.2715392
2010,1027.72247,1126.218038,887.8336992,1096.629494,732.6569664
2011,1140.879254,1108.202602,828.8701056,1079.227066,869.476896
2011_12,1299.009226,1069.543699,470.84544,794.1983904,971.6912928
