Shandong,Hebei,Henan,Jiangsu,Anhui,China
420.4757784,399.7743207,287.9124047,358.7633169,325.2896889,358.4431019
502.4594327,455.3831414,553.8909271,402.695587,358.9258998,454.6709976
306.9977898,252.2851982,484.5762581,484.9117849,463.6291063,398.4800274
492.9114081,466.5140642,458.6162522,667.7984689,778.0602039,572.7800795
637.2328255,348.5804646,452.5154163,738.0762718,671.0767656,569.4963488
720.8526781,416.8831293,551.5021221,656.1740065,607.7335294,590.6290931
443.5776042,259.5067784,407.7647337,631.1482352,593.142905,467.0280513
497.8439107,524.5625542,510.6569923,504.1940801,555.4347572,518.5384589
621.8500335,405.6478917,355.7953331,656.3110196,540.7762297,516.0761015
506.6731339,334.2980702,514.7308618,620.0756594,731.4190019,541.4393454
517.1994373,446.9423713,445.9104695,517.6204323,419.5391737,469.4423768
412.6333367,450.5827866,446.6485863,515.553699,581.8452184,481.4527254
567.0452566,417.5973333,335.7703311,319.2564029,270.4714342,382.0281516
491.1827944,407.6843493,608.9390048,600.4849773,641.4782536,549.9538759
446.1212605,283.8340703,529.1593204,716.9738016,803.8336215,555.9844148
345.9314144,327.9498466,441.5829875,518.5826783,528.3722927,432.4838439
422.4034126,388.9904796,640.1738387,556.3531873,646.4835898,530.8809016
363.9533484,292.5440975,548.2031169,603.3208902,711.0566836,503.8156273
568.1989906,332.3564873,712.7637243,682.1933172,719.5616449,603.0148329
538.0991964,424.3000005,377.605724,521.6551778,459.9913469,464.3302891
380.4216276,364.0201194,337.6158041,658.5202539,602.1754965,468.5506603
469.5314813,373.1385997,455.6222829,654.5634186,624.2079629,515.4127491
383.8880176,430.2184958,376.9278678,442.4385722,469.3917403,420.5729387
338.7338673,314.555762,543.4415776,599.3526527,717.4225078,502.7012735
698.8262586,440.7239766,428.8104519,694.3347707,534.6157018,559.4622319
423.9629588,437.5165901,362.5824916,890.6985205,754.2042117,573.7929545
374.8341224,306.2987167,458.4457793,459.7605898,524.3153845,424.7309185
482.0760003,319.6587195,391.6703927,628.9458401,609.1235901,486.2949086
501.2616436,512.1942406,532.3242392,642.5245647,708.9142277,579.4437831
480.1896341,431.0966741,465.3814812,601.5589794,609.0242953,517.4502128
528.4594689,507.114434,555.8599282,554.3017102,528.7597442,534.8990571
225.9217081,239.8668056,269.0966803,536.6270651,535.374974,361.3774466
562.7750218,434.316768,528.1120656,578.8190289,611.564553,543.1174875
383.807112,231.6858337,503.9037692,648.5089524,728.9057821,499.3622899
520.4432545,277.3170859,554.689017,629.6877543,589.2487939,514.2771811
507.4347628,233.8795637,361.8992238,724.5616588,626.7911575,490.9132733
329.3796689,274.8143694,440.7558145,567.2656109,580.8191825,438.6069292
686.7847992,367.4280253,715.51329,821.8955345,929.8720251,704.2987348
663.3799904,425.7994276,654.2273851,521.3855105,617.064405,576.3713437
680.651473,320.1969791,627.7975049,717.7836999,659.3490046,601.1557323
421.3182964,270.8482472,488.8891128,563.5905838,583.7882173,465.6868915
732.498811,327.6577291,490.7811569,884.7023039,627.3730539,612.602611
573.1871828,365.3847035,513.5805169,642.3964764,589.1226559,536.7343071
446.0889,347.3582759,514.8985905,737.1612519,629.427728,534.9869492
582.3250566,379.4197625,538.8135073,652.8518075,684.6350584,567.6090385
546.4354865,437.5076281,465.4123917,761.312401,696.8717881,581.5079391
424.3266909,418.9920668,420.8270624,483.6140302,534.2936078,456.4106916
