"Hungary","Austria","Germany","Romania","Italy","France"
416.86272,869.56416,507.6,436.25088,398.32128,395.48736
287.91072,650.39328,398.1744,371.07936,356.82336,298.728
263.034432,641.87424,409.05216,333.843552,401.96736,429.77088
360.91008,637.64928,414.6768,492.02208,407.87712,449.74656
428.81184,784.84896,426.1248,559.51776,351.44928,376.488
273.89664,564.624,335.41344,404.53344,367.51968,452.67552
425.755872,789.3936,427.25664,422.453664,438.37632,402.35616
287.225568,574.31808,314.438976,380.43648,363.53664,324.53568
385.645536,661.70304,338.56704,450.788544,391.98816,370.4832
460.80576,846.68544,376.62624,501.391296,491.32224,391.46976
278.84736,533.507904,233.017344,341.872704,436.52736,248.21856
303.76512,670.66272,395.55648,418.85856,485.80128,554.61024
402.624,630.88416,405.12096,442.8432,474.2496,429.63264
339.653952,810.2592,409.6656,460.41696,427.428576,440.77824
362.0592,632.94912,434.9808,487.36512,433.54656,430.4448
302.36544,618.65856,457.04736,399.60864,401.44032,434.4624
322.49664,622.78848,344.89152,408.07584,362.82816,365.22144
261.97344,568.14048,393.4224,368.635104,406.332288,492.264
317.352384,561.61728,358.295616,422.28864,491.4,359.93376
376.28928,811.9008,410.24448,384.833376,430.1424,436.38912
288.52416,631.03968,417.00096,303.960384,465.60096,402.28704
388.41984,737.45856,468.85824,328.89888,371.42496,439.8192
301.42368,690.6816,391.27968,387.45216,402.33024,466.62048
435.31776,751.3344,348.180768,401.680512,470.1024,347.82048
251.921664,627.75648,335.11968,277.85376,371.93472,288.700416
370.086624,711.29664,319.36896,536.773824,381.3264,307.552032
232.608672,603.34848,398.32992,307.158048,420.7248,452.6928
224.701344,634.97952,373.506336,362.89728,324.93312,398.880288
318.620736,649.70208,433.53792,352.01952,328.016736,396.75744
388.05696,731.18592,416.45664,409.09536,431.70624,356.75424
335.002176,738.78912,335.974176,337.75488,435.18816,347.42304
321.259392,727.0128,371.8224,492.73056,336.727584,388.48896
382.722624,683.0352,395.28,403.84224,353.84256,355.95936
447.393024,762.48864,395.064,431.862624,382.0176,417.37248
244.937088,710.67456,399.54816,256.5216,368.67744,439.344
360.628416,673.80768,418.25376,431.50752,402.16608,504.84384
321.516,767.232,467.52768,354.78432,525.03552,404.9568
213.879744,504.730656,277.792416,241.878528,265.75776,266.79456
403.28064,690.9408,375.81408,414.23616,378.864,371.71872
466.87104,760.968,398.66688,538.85952,354.70656,330.84288
446.472,764.95104,428.43168,499.48704,365.05728,432.432
315.67968,671.26752,487.86624,366.08544,373.5072,488.92032
409.12128,755.94816,396.1008,420.1632,426.09024,501.81984
283.40064,804.9456,383.10624,368.81568,385.57728,363.5712
519.992352,811.17504,414.95328,478.0944,412.91424,376.5744
288.25632,637.66656,375.811488,329.26608,371.53728,342.792
256.630464,671.69088,346.78368,339.363648,311.05728,414.69408
