Andhra.Pradesh,Assam,Bihar,Haryana,Karnataka,Punjab,Uttar.Pradesh,West.Bengal,Orissa,Tamil.Nadu
196.4101595,177.7564669,209.2081572,251.8785183,198.8972165,263.4528176,225.3427403,186.7923291,186.6109081,218.170458
191.2746738,194.184428,205.2106862,244.0697814,195.3526539,261.1438697,213.9149619,188.5448949,180.5732691,216.2289762
194.7240794,174.1329058,197.232758,254.5456009,199.2755318,270.4325934,219.3094042,178.0371316,179.7011776,214.2820504
192.1495479,185.3953475,200.4940125,248.3060449,199.3045767,264.4250382,212.0891379,180.9351268,176.0008394,219.5851351
186.2415317,182.788284,196.1919631,246.8451919,191.5999127,262.7799629,210.1284058,177.5931009,172.1780455,212.6915279
191.6912954,180.6351202,187.761071,234.6446248,193.7558765,251.526363,199.2094451,168.5091237,159.8170768,215.0146996
200.3018062,203.7588365,230.5670888,256.7679683,208.645607,269.1871353,232.3411721,209.1458102,191.1636116,225.800572
180.8753429,192.2346749,200.7520053,234.6712774,188.6623531,250.2045766,207.0087397,183.9503634,174.4435029,207.2453375
198.067407,177.6899483,208.0342465,255.5686444,198.502198,268.6869632,225.2513781,190.6202513,190.4588474,217.424043
181.6749153,186.4722404,201.0635821,239.2373574,184.5724038,255.1292194,210.441119,182.9198181,177.1979652,206.0268462
208.076967,191.1853189,204.0941293,239.9144322,206.3982997,254.4821863,214.6699649,193.2405308,200.1763299,228.5085151
186.5688982,179.7587882,192.6434412,232.0650699,191.9194839,249.2481592,205.3693422,176.6970761,178.367288,213.5342659
178.5774855,189.4975112,186.8001091,231.733171,186.4241152,248.2154146,204.0815317,172.802726,165.9691005,206.6463037
199.3875351,188.8711819,215.5931208,256.4089593,199.6709733,267.7802451,238.0367124,189.7428413,192.7917528,210.2876293
184.4120645,179.2342497,185.9652315,242.2004189,190.3941398,259.9993452,205.0322666,168.2549764,158.5433699,214.4886665
188.7992021,189.9595392,201.4180299,242.1059055,194.6821724,256.9995844,214.8137372,179.6061809,173.5675695,214.1136973
192.4219684,192.5807846,212.3698341,245.6682473,196.3909508,259.3798828,220.3622498,186.5141466,179.7543253,214.9999155
193.6247236,198.4453181,211.5138086,243.966125,196.8788841,257.7203133,219.022631,187.7003039,180.8944444,215.3074172
202.5854205,196.2796209,209.4384224,246.101408,203.6499408,260.7238584,230.1992833,173.8478012,172.0070315,218.1854972
183.7478219,183.2329742,192.3688714,237.5023583,190.882532,259.7745525,205.5216544,177.7788067,166.5097091,201.7904613
192.1972387,195.3353188,206.8197158,248.0687169,199.5690931,265.6696698,220.7622911,184.637454,180.4819721,209.9223081
202.3444621,174.8457944,190.6301544,274.3124356,209.4990035,286.9326614,229.5435958,179.6342346,189.2713287,222.9154191
184.437398,180.6200261,195.2600505,233.4831225,192.2314664,251.3225741,210.1832663,177.7572907,175.4237744,211.3804148
191.7612106,187.7080906,199.2979871,248.9676837,195.5498916,266.1480614,215.277279,191.6006467,185.9915207,215.6326332
184.1194761,183.482298,199.2244842,237.1188126,190.1083644,250.4881981,203.0919108,184.0712693,173.5240166,213.8007434
186.9402841,176.1484226,196.6059574,253.1951761,190.1737573,271.4993393,214.2896488,183.8050557,177.4737811,207.3603911
202.6191968,200.7157432,220.5462088,240.0020776,207.1778843,252.4374583,225.2908542,200.4551898,190.9350003,213.685952
206.1948092,184.7383585,211.4566116,256.8714465,216.0598409,275.0181398,224.6790848,185.577373,183.0452693,227.0580998
186.1354898,210.5378546,215.4089165,239.4750455,195.6410912,251.1418061,214.2490482,188.6662173,158.1445853,217.0447178
192.7406748,185.8405149,201.2387258,242.4107839,199.7342417,257.2169276,220.0013627,174.8543649,179.0895565,217.6300064
194.0958796,191.6841873,205.2789238,240.798302,195.690949,254.8437879,211.7997016,186.8077936,189.3819293,202.8592068
206.3194704,205.8034515,212.1780429,248.7294528,207.4243687,263.9395478,223.3585578,194.3933119,185.5989451,221.6276533
188.0370221,196.4511692,200.5405638,228.0758579,184.3370562,244.4006297,207.6949627,185.8128609,183.7172515,205.250733
182.9834294,173.0150951,175.1736406,228.4685288,189.0330221,248.4390774,190.7740714,167.1152603,164.7287654,213.7541949
184.7696346,183.1366898,190.6419365,239.3142265,187.005505,256.359497,201.0111513,176.9621865,179.8062318,205.0593155
181.9771602,188.604258,192.122411,236.6998576,185.5833527,245.438878,208.2482613,176.5811066,159.2819873,213.2597596
194.0432611,177.7182269,192.6028689,242.5495702,192.3967915,262.5031293,210.2222787,171.5459228,178.2534545,223.5579942
179.2438581,183.4635911,192.2436322,217.4077908,184.7323851,240.8292493,190.5889615,179.6222248,166.9475784,214.5231806
190.6842436,168.2523353,187.6001766,239.7301075,186.1021839,250.4571381,209.2755724,169.6643764,177.2478881,207.7672532
183.5083966,180.7854112,194.1438409,229.6692303,176.9081834,245.7786453,205.1572115,177.9067683,169.9943854,211.321891
184.9851026,185.5580388,189.9836067,236.4881402,184.0295139,242.9888494,205.9095171,172.4630713,165.4554069,211.3844523
182.9309249,183.144835,201.2982606,232.5855343,192.3916656,249.7307252,202.8679891,185.5664611,172.1873125,212.730197
192.6376841,174.6974979,192.1932309,241.6882873,199.4374015,256.7494773,203.1591345,176.2992946,174.5732884,227.2137714
193.2832206,185.0064404,211.176537,250.8724963,200.2748631,261.4646945,221.687365,189.3740448,180.8685816,224.4976407
188.1525372,186.9005868,211.031527,232.884679,191.1967951,242.0674085,217.988431,187.3788473,176.3325965,212.5030786
191.6647652,176.2590277,190.8983576,231.8622177,194.3430159,249.6275085,203.5390766,171.9338946,169.7838524,227.9412373
194.0360324,167.7690109,194.8307814,242.7184792,202.8557929,256.5341592,209.9369175,176.0182143,175.490434,221.9173136
