year,Kansas,Iowa,Illinois,Indiana,Wisconsin,Missouri,South_Dakota,Minnesota,Nebraska,Ohio
1966,87.64573634,43.19284138,59.71516685,60.00727912,22.17991414,62.50988326,54.9337529,23.52803872,64.59841355,48.85599373
1967,67.67798342,25.93314412,35.5729875,40.00225903,3.912969949,47.22159288,44.35386994,10.28171553,53.36864748,30.05964293
1968,90.55330988,40.10296437,57.71358533,56.38328313,11.74281254,64.46526413,39.88815281,11.30619604,72.40037644,38.82205219
1969,83.23628931,36.43598234,54.4387158,52.74924699,16.71068037,63.05479135,54.76173126,21.94990037,77.74442054,36.44791054
1970,102.5888498,46.44843898,56.31630555,58.31526106,23.26564329,81.01259969,72.095175,30.9212449,82.82038183,45.4745929
1971,99.93493812,50.10958689,67.03605883,51.29442771,13.32951737,68.71494625,56.23583968,18.1118702,89.20892713,36.40670983
1972,87.5279891,33.02333649,51.22663292,39.98669679,6.535189282,55.83886256,40.36204041,10.52585634,84.8248185,23.46988424
1973,91.37163619,43.84169031,60.24766725,55.57354418,15.74619487,67.23280545,60.00011041,19.49350033,80.91180424,40.99234844
1974,83.20063586,38.18401135,44.50466551,40.72289157,16.35839729,62.82892151,56.46406094,21.13094222,59.0574079,30.69923484
1975,98.25150449,52.05597604,58.74252728,53.94904619,17.70209445,72.17015374,57.09528542,23.91317962,85.09572465,39.98646263
1976,93.94629272,57.27988017,56.86477939,45.74774095,32.56354885,71.87932031,77.84531302,40.93737546,76.81809627,26.06631351
1977,102.9409561,49.94292022,65.8378934,65.35165663,16.89293613,65.57265057,51.15027051,19.68289212,85.61723582,41.62468119
1978,104.2705802,50.90602334,63.48742686,56.68473895,13.67802784,74.37475437,56.24323727,19.80719233,88.89351976,35.6433196
1979,98.8505734,35.01292967,55.53597975,35.52710843,7.488226877,61.2264478,45.68698244,10.6598349,74.38289864,17.39768491
1980,114.2819348,58.14459162,72.76972955,67.6812249,16.96877845,86.29730666,68.50226344,23.73204289,102.3107018,42.43868942
1981,93.91949584,31.19567959,43.4842638,39.78589357,7.631585794,60.58675298,53.05542674,11.32441408,69.77278839,28.00667059
1982,81.69308505,29.25070956,42.06721493,39.51531124,9.307532197,51.7500867,45.75841891,15.37384951,62.96894327,32.038454
1983,96.79436812,69.92462946,84.66503243,82.42143574,33.64134253,76.5558895,67.60814839,36.52803871,90.67988707,62.13243085
1984,99.2927217,46.17281615,67.46307133,59.05697791,13.00338234,69.02901398,51.17489235,21.80719233,81.96195215,38.07867373
1985,85.91007154,33.98344371,44.89814961,40.79216868,8.132821648,57.48364351,45.26233852,8.8133599,61.51156225,29.00294291
1986,91.9008743,35.5059918,59.67040961,53.56300201,9.461428385,60.00150271,43.00883295,13.25856343,83.42645872,32.52815382
1987,98.94231861,57.58215074,86.31077021,77.13353413,24.17874333,70.79782684,60.47708954,29.09175443,95.57058349,51.42279773
1988,108.2332236,84.35761588,95.18915072,87.78363454,48.51268376,86.75771587,81.88130728,52.80671791,100.2758806,63.67039435
1989,82.45827182,42.02002523,50.30507671,38.80973896,15.70053336,62.82591608,63.52313128,26.95056457,62.41072869,24.27957622
1990,103.8736233,38.82513402,52.76419421,38.34262048,8.43111747,76.22610103,60.04261897,16.45905684,83.53589675,21.25897587
1991,110.0451913,48.06480605,84.79376879,82.74748996,18.32886692,78.93503641,61.3898642,22.25287029,98.13189029,65.06906024
1992,66.40002271,12.97887102,32.53756129,23.9691265,2.548458436,34.75679112,20.45158441,2.540658506,49.08281796,13.92407298
1993,77.39956852,20.43204037,50.3703938,49.31074298,4.777026148,36.30158364,17.48305178,4.203150204,70.0754235,45.00333529
1994,103.4286363,29.04840744,53.56492171,47.04718875,8.041888904,67.48503063,44.77851386,8.502894012,75.01371337,32.4204434
1995,85.58305893,51.50204983,71.29305709,66.02786145,24.84922597,67.52768467,50.83990284,23.31653857,76.64641032,48.14243672
1996,83.95526285,18.86345002,46.04618061,38.11947791,5.623650318,44.85111548,45.36413824,9.448524527,65.19817155,28.84873455
1997,86.27523561,29.01907916,44.12936897,30.15763052,4.729283205,55.95965784,46.50204262,12.80586393,68.21941382,19.67117912
1998,115.4768934,38.95569222,60.03447731,49.91064258,10.76323663,70.5288406,55.8217953,19.02799127,93.22613606,39.59799883
1999,84.78233225,35.22106591,59.70172387,62.57931727,15.89735918,52.12010172,44.10345588,14.90976373,78.17571929,53.11183048
2000,109.0146474,30.06464838,41.59307291,25.26631526,4.216469364,79.80765229,61.50237386,10.68089952,74.21511158,11.87659408
2001,99.84796184,38.49369284,51.92076546,37.33584338,17.99349551,71.28909954,61.15755769,24.37982731,77.16819038,28.84324112
2002,107.1537413,49.13844212,74.66724655,72.8376004,23.65721348,84.22991562,71.14419786,23.75054559,91.01263781,58.79654698
2003,86.98410355,43.68117314,46.81053298,30.16340362,16.97190061,70.13593805,65.73799271,23.22222222,73.76310837,17.3727683
2004,87.83115705,15.68038474,34.84437767,24.27058233,3.039677378,48.20737486,35.09727282,7.900939369,55.29887066,14.41848146
2005,114.893948,63.18101545,83.21714376,67.52986948,26.59281904,78.22425154,64.17334658,25.36578423,100.0162678,56.38826761
2006,105.4540706,49.15689057,58.91823501,37.35818273,20.50097568,79.57392209,69.49552833,30.15589714,90.77440172,30.84284873
2007,100.6344953,51.26947335,80.27265539,77.76581325,19.63301678,74.03190383,65.96301204,25.83897903,96.75356278,55.99175985
2008,87.7649597,29.05660675,49.85702989,46.9628514,8.263301678,56.13189227,48.67428508,14.50346333,68.45993546,35.76201687
2009,80.99182468,16.27877641,32.63862091,21.91139558,2.916092104,37.45162409,26.19333113,6.252206091,55.83880075,15.28055719
2010,110.3978653,48.36534216,83.76735727,84.93825301,20.91778327,68.22089931,50.802142,21.21140526,96.09841356,53.75534628
2011,107.9578744,47.58278145,70.55780483,66.89081325,22.5769481,69.23338342,55.8665121,27.78432488,91.78744285,47.37041397
2012,121.1371636,69.6529486,86.35283884,76.21485944,41.18576818,98.09987285,79.80379817,41.01167094,102.2023393,62.05532665
